All-NBA 3rd Team,,,,,,,,
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2020,Russell Westbrook,G,Houston Rockets,0.472,27.2,7.9,7,0.4
2020,Jimmy Butler,F,Miami Heat,0.455,19.9,6.7,6,0.6
2020,Rudy Gobert,C,Utah Jazz,0.693,15.1,13.5,1.5,2
2020,Ben Simmons,F,Philadelphia 76ers,0.58,16.4,7.8,8,0.6
2020,Jayson Tatum,F,Boston Celtics,0.45,23.4,7,3,0.9
2019,LeBron James,F,Los Angeles Lakers,0.51,27.4,8.5,8.3,0.6
2019,Russell Westbrook,G,Oklahoma City Thunder,0.428,22.9,11.1,10.7,0.5
2019,Blake Griffin,F,Detroit Pistons,0.462,24.5,7.5,5.4,0.4
2019,Kemba Walker,G,Charlotte Hornets,0.434,25.6,4.4,5.9,0.4
2019,Rudy Gobert,C,Utah Jazz,0.669,15.9,12.9,2,2.3
2018,Stephen Curry,G,Golden State Warriors,0.495,26.4,5.1,6.1,0.2
2018,Paul George,F,Oklahoma City Thunder,0.43,21.9,5.7,3.3,0.5
2018,Jimmy Butler,G,Minnesota Timberwolves,0.474,22.2,5.3,4.9,0.4
2018,Victor Oladipo,G,Indiana Pacers,0.477,23.1,5.2,4.3,0.8
2018,Karl-Anthony Towns,F,Minnesota Timberwolves,0.545,21.3,12.3,2.4,1.4
2017,DeAndre Jordan,C,LA Clippers,0.714,12.7,13.8,1.2,1.7
2017,DeMar DeRozan,G,Toronto Raptors,0.467,27.3,5.2,3.9,0.2
2017,John Wall,G,Washington Wizards,0.451,23.1,4.2,10.7,0.6
2017,Jimmy Butler,G,Chicago Bulls,0.455,23.9,6.2,5.5,0.4
2017,Draymond Green,F,Golden State Warriors,0.418,10.2,7.9,7,1.4
2016,LaMarcus Aldridge,F,San Antonio Spurs,0.513,18,8.5,1.5,1.1
2016,Kyle Lowry,G,Toronto Raptors,0.427,21.2,4.7,6.4,0.4
2016,Paul George,F,Indiana Pacers,0.418,23.1,7,4.1,0.4
2016,Klay Thompson,G,Golden State Warriors,0.47,22.1,3.8,2.1,0.6
2016,Andre Drummond,C,Detroit Pistons,0.521,16.2,14.8,0.8,1.4
2015,Tim Duncan,F,San Antonio Spurs,0.512,13.9,9.1,3,2
2015,DeAndre Jordan,C,LA Clippers,0.71,11.5,15,0.7,2.2
2015,Blake Griffin,F,LA Clippers,0.502,21.9,7.6,5.3,0.5
2015,Kyrie Irving,G,Cleveland Cavaliers,0.468,21.7,3.2,5.2,0.3
2015,Klay Thompson,G,Golden State Warriors,0.463,21.7,3.2,2.9,0.8
2014,Al Jefferson,C,Charlotte Bobcats,0.509,21.8,10.8,2.1,1.1
2014,LaMarcus Aldridge,F,Portland Trail Blazers,0.458,23.2,11.1,2.6,1
2014,Goran Dragic,G,Phoenix Suns,0.505,20.3,3.2,5.9,0.3
2014,Paul George,F,Indiana Pacers,0.424,21.7,6.8,3.5,0.3
2014,Damian Lillard,G,Portland Trail Blazers,0.424,20.7,3.5,5.6,0.3
2013,Dwyane Wade,G,Miami Heat,0.521,21.2,5,5.1,0.8
2013,Dwight Howard,C,Los Angeles Lakers,0.578,17.1,12.4,1.4,2.4
2013,David Lee,F,Golden State Warriors,0.519,18.5,11.2,3.5,0.3
2013,James Harden,G,Houston Rockets,0.438,25.9,4.9,5.8,0.5
2013,Paul George,G,Indiana Pacers,0.419,17.4,7.6,4.1,0.6
2012,Dirk Nowitzki,F,Dallas Mavericks,0.457,21.6,6.8,2.2,0.5
2012,Tyson Chandler,C,New York Knicks,0.679,11.3,9.9,0.9,1.4
2012,Carmelo Anthony,F,New York Knicks,0.43,22.6,6.3,3.6,0.4
2012,Dwyane Wade,G,Miami Heat,0.497,22.1,4.8,4.6,1.3
2012,Rajon Rondo,G,Boston Celtics,0.448,11.9,4.8,11.7,0.1
2011,Manu Ginobili,G,San Antonio Spurs,0.433,17.4,3.7,4.9,0.4
2011,Zach Randolph,F,Memphis Grizzlies,0.503,20.1,12.2,2.2,0.3
2011,Chris Paul,PG,New Orleans Hornets,0.463,15.9,4.1,9.8,0.1
2011,LaMarcus Aldridge,C,Portland Trail Blazers,0.5,21.8,8.8,2.1,1.2
2011,Al Horford,C,Atlanta Hawks,0.557,15.3,9.3,3.5,1
2010,Tim Duncan,F,San Antonio Spurs,0.518,17.9,10.1,3.2,1.5
2010,Pau Gasol,F,Los Angeles Lakers,0.536,18.3,11.3,3.4,1.7
2010,Joe Johnson,G,Atlanta Hawks,0.458,21.3,4.6,4.9,0.1
2010,Andrew Bogut,C,Milwaukee Bucks,0.52,15.9,10.2,1.8,2.5
2010,Brandon Roy,G,Portland Trail Blazers,0.473,21.5,4.4,4.7,0.2
2009,Chauncey Billups,G,Denver Nuggets,0.418,17.7,3,6.4,0.2
2009,Shaquille O'Neal,C,Phoenix Suns,0.609,17.8,8.4,1.7,1.4
2009,Pau Gasol,F,Los Angeles Lakers,0.567,18.9,9.6,3.5,1
2009,Tony Parker,G,San Antonio Spurs,0.506,22,3.1,6.9,0.1
2009,Carmelo Anthony,F,Denver Nuggets,0.443,22.8,6.8,3.4,0.4
2008,Manu Ginobili,G,San Antonio Spurs,0.46,19.5,4.8,4.5,0.4
2008,Tracy McGrady,G,Houston Rockets,0.419,21.6,5.1,5.9,0.5
2008,Paul Pierce,F,Boston Celtics,0.464,19.6,5.1,4.5,0.5
2008,Carlos Boozer,F,Utah Jazz,0.547,21.1,10.4,2.9,0.5
2008,Yao Ming,C,Houston Rockets,0.507,22,10.8,2.3,2
2007,Chauncey Billups,G,Detroit Pistons,0.427,17,3.4,7.2,0.2
2007,Kevin Garnett,F,Minnesota Timberwolves,0.476,22.4,12.8,4.1,1.7
2007,Carmelo Anthony,F,Denver Nuggets,0.476,28.9,6,3.8,0.4
2007,Dwyane Wade,G,Miami Heat,0.491,27.4,4.7,7.5,1.2
2007,Dwight Howard,C,Orlando Magic,0.603,17.6,12.3,1.9,1.9
2006,Allen Iverson,G,Philadelphia 76ers,0.447,33,3.2,7.4,0.1
2006,Shawn Marion,F,Phoenix Suns,0.525,21.8,11.8,1.8,1.7
2006,Gilbert Arenas,G,Washington Wizards,0.447,29.3,3.5,6.1,0.3
2006,Yao Ming,C,Houston Rockets,0.519,22.3,10.2,1.5,1.6
2006,Carmelo Anthony,F,Denver Nuggets,0.481,26.5,4.9,2.7,0.5
2005,Kobe Bryant,G,Los Angeles Lakers,0.433,27.6,5.9,6,0.8
2005,Shawn Marion,F,Phoenix Suns,0.476,19.4,11.3,1.9,1.5
2005,Tracy McGrady,F,Houston Rockets,0.431,25.7,6.2,5.7,0.7
2005,Ben Wallace,C,Detroit Pistons,0.453,9.7,12.2,1.7,2.4
2005,Gilbert Arenas,G,Washington Wizards,0.431,25.5,4.7,5.1,0.3
2004,Metta World Peace,F,Indiana Pacers,0.421,18.3,5.3,3.7,0.7
2004,Baron Davis,F,New Orleans Hornets,0.395,22.9,4.3,7.5,0.4
2004,Dirk Nowitzki,F,Dallas Mavericks,0.462,21.8,8.7,2.7,1.4
2004,Michael Redd,G,Milwaukee Bucks,0.44,21.7,5,2.3,0.1
2004,Yao Ming,C,Houston Rockets,0.522,17.5,9,1.5,1.9
2003,Stephon Marbury,G,Phoenix Suns,0.439,22.3,3.2,8.1,0.2
2003,Jamal Mashburn,F,New Orleans Hornets,0.422,21.6,6.1,5.6,0.2
2003,Steve Nash,G,Dallas Mavericks,0.465,17.7,2.9,7.3,0.1
2003,Jermaine O'Neal,C,Indiana Pacers,0.484,20.8,10.3,2,2.3
2003,Paul Pierce,F,Boston Celtics,0.416,25.9,7.3,4.4,0.8
2002,Dikembe Mutombo,C,Atlanta Hawks,0.501,11.5,10.8,1,2.4
2002,Steve Nash,G,Dallas Mavericks,0.483,17.9,3.1,7.7,0
2002,Jermaine O'Neal,F,Indiana Pacers,0.479,19,10.5,1.6,2.3
2002,Paul Pierce,G,Boston Celtics,0.442,26.1,6.9,3.2,1
2002,Ben Wallace,F,Detroit Pistons,0.531,7.6,13,1.4,3.5
2001,Ray Allen,G,Milwaukee Bucks,0.48,22,5.2,4.6,0.2
2001,Karl Malone,F,Utah Jazz,0.498,23.2,8.3,4.5,0.8
2001,Dirk Nowitzki,F,Dallas Mavericks,0.474,21.8,9.2,2.1,1.2
2001,Gary Payton,G,Seattle SuperSonics,0.456,23.1,4.6,8.1,0.3
2001,David Robinson,C,San Antonio Spurs,0.486,14.4,8.6,1.5,2.5
2000,Vince Carter,F,Toronto Raptors,0.465,25.7,5.8,3.9,1.1
2000,Eddie Jones,G,Charlotte Hornets,0.427,20.1,4.8,4.2,0.7
2000,Stephon Marbury,G,New Jersey Nets,0.432,22.2,3.2,8.4,0.2
2000,David Robinson,C,San Antonio Spurs,0.512,17.8,9.6,1.8,2.3
2000,Chris Webber,F,Sacramento Kings,0.483,24.5,10.5,4.6,1.7
1999,Kobe Bryant,G,Los Angeles Lakers,0.465,19.9,5.3,3.8,1
1999,Kevin Garnett,F,Minnesota Timberwolves,0.46,20.8,10.4,4.3,1.8
1999,Antonio McDyess,F,Denver Nuggets,0.471,21.2,10.7,1.6,2.3
1999,Hakeem Olajuwon,C,Houston Rockets,0.514,18.9,9.6,1.8,2.5
1999,John Stockton,G,Utah Jazz,0.488,11.1,2.9,7.5,0.3
1998,Reggie Miller,G,Indiana Pacers,0.477,19.5,2.9,2.1,0.1
1998,Dikembe Mutombo,C,Atlanta Hawks,0.537,13.4,11.4,1,3.4
1998,Scottie Pippen,F,Chicago Bulls,0.447,19.1,5.2,5.8,1
1998,Glen Rice,F,Charlotte Hornets,0.457,22.3,4.3,2.2,0.3
1998,Mitch Richmond,G,Sacramento Kings,0.445,23.2,3.3,4,0.2
1997,Vin Baker,F,Milwaukee Bucks,0.505,21,10.3,2.7,1.4
1997,Anfernee Hardaway,G,Orlando Magic,0.447,20.5,4.5,5.6,0.6
1997,Anthony Mason,F,Charlotte Hornets,0.525,16.2,11.4,5.7,0.5
1997,Shaquille O'Neal,C,Los Angeles Lakers,0.557,26.2,12.5,3.1,2.9
1997,John Stockton,G,Utah Jazz,0.548,14.4,2.8,10.5,0.2
1996,Charles Barkley,F,Phoenix Suns,0.5,23.2,11.6,3.7,0.8
1996,Juwan Howard,F,Washington Bullets,0.489,22.1,8.1,4.4,0.5
1996,Reggie Miller,G,Indiana Pacers,0.473,21.1,2.8,3.3,0.2
1996,Shaquille O'Neal,C,Orlando Magic,0.573,26.6,11,2.9,2.1
1996,Mitch Richmond,G,Sacramento Kings,0.447,23.1,3.3,3.1,0.2
1995,Reggie Miller,G,Indiana Pacers,0.462,19.6,2.6,3,0.2
1995,Hakeem Olajuwon,C,Houston Rockets,0.517,27.8,10.8,3.5,3.4
1995,Dennis Rodman,F,San Antonio Spurs,0.571,7.1,16.8,2,0.5
1995,Detlef Schrempf,F,Seattle SuperSonics,0.523,19.2,6.2,3.8,0.4
1995,Clyde Drexler,G,Houston Rockets,0.461,21.8,6.3,4.8,0.6
1994,Derrick Coleman,F,New Jersey Nets,0.447,20.2,11.3,3.4,1.8
1994,Shaquille O'Neal,C,Orlando Magic,0.599,29.3,13.2,2.4,2.9
1994,Gary Payton,G,Seattle SuperSonics,0.504,16.5,3.3,6,0.2
1994,Dominique Wilkins,F,Los Angeles Clippers,0.44,26,6.5,2.3,0.4
1994,Mark Price,G,Cleveland Cavaliers,0.478,17.3,3,7.8,0.1
1993,Derrick Coleman,F,New Jersey Nets,0.46,20.7,11.2,3.6,1.7
1993,Tim Hardaway,G,Golden State Warriors,0.447,21.5,4,10.6,0.2
1993,Scottie Pippen,F,Chicago Bulls,0.473,18.6,7.7,6.3,0.9
1993,David Robinson,C,San Antonio Spurs,0.501,23.4,11.7,3.7,3.2
1993,Drazen Petrovic,G,New Jersey Nets,No stats available.,,,,
1992,Kevin Johnson,G,Phoenix Suns,0.479,19.7,3.7,10.7,0.3
1992,Dennis Rodman,F,Detroit Pistons,0.539,9.8,18.7,2.3,0.9
1992,Kevin Willis,F,Atlanta Hawks,0.483,18.3,15.5,2.1,0.7
1992,Brad Daugherty,C,Cleveland Cavaliers,0.57,21.5,10.4,3.6,1.1
1992,Mark Price,G,Cleveland Cavaliers,0.488,17.3,2.4,7.4,0.2
1991,Hakeem Olajuwon,C,Houston Rockets,0.508,21.2,13.8,2.3,3.9
1991,John Stockton,G,Utah Jazz,0.507,17.2,2.9,14.2,0.2
1991,James Worthy,F,Los Angeles Lakers,0.492,21.4,4.6,3.5,0.4
1991,Joe Dumars,G,Detroit Pistons,0.481,20.4,2.3,5.5,0.1
1991,Bernard King,F,Washington Bullets,No stats available.,,,,
1990,Chris Mullin,F,Golden State Warriors,0.536,25.1,5.9,4.1,0.6
1990,David Robinson,C,San Antonio Spurs,0.531,24.3,12,2,3.9
1990,James Worthy,F,Los Angeles Lakers,0.548,21.1,6,3.6,0.6
1990,Clyde Drexler,G,Portland Trail Blazers,0.494,23.3,6.9,5.9,0.7
1990,Joe Dumars,G,Detroit Pistons,0.48,17.8,2.8,4.9,0
1989,Terry Cummings,F,Milwaukee Bucks,0.467,22.9,8.1,2.5,0.9
1989,Dale Ellis,G,Seattle SuperSonics,0.501,27.5,4.2,2,0.3
1989,Dominique Wilkins,F,Atlanta Hawks,0.464,26.2,6.9,2.6,0.7
1989,Robert Parish,C,Boston Celtics,0.57,18.6,12.5,2.2,1.5
1989,Mark Price,G,Cleveland Cavaliers,0.526,18.9,3,8.4,0.1